文件路径,有效代码行数
./src/entity.rs,2
./src/entity/normal_distribute.rs,75
./src/logging.rs,358
./src/logging/agent_cash_log.rs,63
./src/logging/agent_demand_removal_log.rs,141
./src/logging/agent_range_adjustment_log.rs,143
./src/logging/factory_end_of_round_log.rs,211
./src/logging/factory_range_optimization_log.rs,135
./src/logging/trade_log.rs,174
./src/main.rs,173
./src/model.rs,5
./src/model/agent.rs,423
./src/model/agent/preference.rs,51
./src/model/factory.rs,389
./src/model/factory/accountant.rs,68
./src/model/factory/financial_bill.rs,77
./src/model/market.rs,453
./src/model/product.rs,124
./src/model/util.rs,171
./src/util.rs,3

总有效代码行数,3239
